abandon оставить
abate|уменьшаться
rip off|обмануть
ripe|созревший
ripple|рябь
rise |подниматься
rite|церемония
rival|соперничающий
rivet|заклепка
roadside|обочина
roadway|проезжая часть
roam|бродить
roar|рев
roast|жарить
rob|грабить
robe|халат
robust|крепкий
rock|камень
rock|качать
rod|стержень
rodent|грызун
rogue|жулик
roll|рулон
roll|катиться
roll up|свернуть
roof|крыша
room|место
root|корень
root out|искоренить
rope|веревка
rope in |втянуть в занятие
rot|гнить
rotate|сменять
rotate|вращать
rotten|гнилой
rough|грубый
rough up|грубо обращаться
round|круг
round down|округлить
rouse|будить
route|маршрут
row|грести
row|ряд
royal|королевский
rub|тереть
rubber|резина
rubbish|мусор
rubble|щебень
rude|грубый
ruffle|рябить
rug|коврик
rugged|неровный
ruin|разрушать
rule|правило
rule|править
ruler|линейка
rumble|грохот
rumor |слух
run|управлять
run after|гнаться за
run away|убежать
run counter|противоречить
run into|случайно встретить
run out of|исчерпать запас
run over|переехать машиной
runaway|беглый
runway|взлетная полоса
rupture|разрыв
rural|сельский
rush|торопиться
rust|ржавчина
rustic|деревенский
rustle|шелест
rut|борозда
ruthless|беспощадный
sack|мешок
sacred|священный
sacrifice|жертва
saddle|седло
safe|надежный
sail|парус
saint|святой
salary|зарплата
sale|продажа
salesperson|продавец
salient|выступающий
saliva|слюна
salmon|лосось
salt|соль
salvage|спасти
salvation|спасение
sample|образец
sanctuary|убежище
sand|песок
sane|здравый
satellite|спутник
satisfy|удовлетворять
saturated|насыщенный
saucepan|кастрюля
saucer|блюдце
sausage|колбаса
savage|дикарь
save up|накопить
savings|сбережения
savior|спаситель
savor|вкус
scaffold|помост
scale|чешуя
scale|взбираться
scale|масштаб
scales|весы
scant|скудный
scar|шрам
scarce|редкий
scare|пугать
scarf|шарф
scarlet|алый
scatter|разбрасывать
scent|нюх
schedule|график
scheme|схема
scholar|ученый
scholarship |стипендия
science|наука
scissors|ножницы
scold|ругать
scoop|совок
scope|пределы
score|счет
scorn|презирать
scour|обыскать
scout|разведчик
scowl|насупиться
scramble|драка
scramble|карабкаться
scrambled eggs|яичница
scrap|обломок
scrape|скрести
scrape through|с трудом пройти
scrape together|наскрести
scratch|царапать
scream|кричать
screech|визг
screenplay|сценарий
screw|винт
screw|к черту
screw up|завалить
scribble|криво написать
scrub|чистить
scrutiny|внимательный осмотр
scurry|бежать
seal|печать
seal|тюлень
seam|шов
search|поиски
seasoning|приправа
seat|место
secular|светский
secure|безопасный
sediment|осадок
seduce|соблазнять
see off|провожать
see through|довести до конца
see to|заняться
seed|семя
seek |искать
seem|казаться
seep|просачиваться
segregate|разделять
seize|схватить
seldom|редко
select|выбирать
selfish|эгоистичный
sell out of|распродать
send |отправить
send out|рассылать
senior|старший
sensation|ощущение
sense|чувство
sense|смысл
sensible|разумный
sensitive|чувствительный
sentence|предложение
sentence|приговор
sentiment|настроение
separate|отдельный
sequence|последовательность
serene|безмятежный
series|сериал
sermon|проповедь
serve|служить
serve|сидеть
serve|подавать
set|набор
set |установить
set about|приступить
set down|написать
set out|разъяснять
set out for|отправиться
set smb back|задержать
set smb back|обойтись в
set smb up|подставить
set smb up with|устроить
set smb up with|познакомить
settle|уладить
settle|селиться
settle for|согласиться на
settle in|освоиться
settle on|определиться с
sever|разрывать
several|несколько
severe|серьезный
sew|шить
sewage|канализация
sex|пол
shabby|облезлый
shack|лачуга
shade|тень
shade|оттенок
shadow|тень
shaft|вал
shaft|шахта
shake |трясти
shake |пожать
shake off|отделаться
shake up|встряхнуть
shallow|мелкий
shame|стыд
shape|форма
share|делить
share|разделять
shareholder|акционер
shark|акула
sharp|острый
shatter|разрушить
shave|брить
shed|сарай
shed |проливать
sheep |овца
sheer|явный
sheer|отвесный
sheet|лист
shelf |полка
shell|скорлупа
shelter|укрытие
shepherd|пастух
shield|щит
shift|сменить
shift|смена
shimmer|мерцать
shine |сиять
ship|доставлять
shirt|рубашка
shiver|дрожь
shoe|туфля
shoot |стрелять
shoot |снимать
shore|берег
shortage|нехватка
shoulder|плечо
shout|кричать
shove|резко толкнуть
shovel|лопата
show around|показать места
show off|показать всем
show up|прийти
showcase|витрина
shower|душ
shred|мелко порубить
shrewd|проницательный
shriek|пронзительный крик
shrimp|креветка
shrine|святыня
shrink |сжаться
shroud|пелена
shrub|куст
shrug|пожать плечами
shudder|содрогаться
shuffle|перемешивать
shun|избегать
shut |закрыть
shut out|не впускать
shut up|заткнуться
shy|застенчивый
siblings|братья и сестры
sick|больной
sideline|что-то вторичное
sidewalk|тротуар
sideways|вбок
siege|осада
sift|просеять
sigh|вздох
sight|вид
sight|достопримечаетльность
sign|знак
sign|подпись
sign up|записаться
signature|подпись
significant|значительный
signify|означать
silent|тихий
silk|шелк
sill|подоконник
silly|глупый
similar|похожий
simmer|медленно кипятить
simple|простой
simulate|моделировать
simultaneous|одновременный
sin|грех
since|поскольку
since|с
sincere|искренний
single|один
singular|единственный
sinister|зловещий
sink|раковина
sink |тонуть
sip|глоток
sit around|просто сидеть
sit back|отсидеться
sit out|высидеть
site|местоположение
situate|располагать
size up|изучить
skate|конек
sketch|набросок
ski|ездить на лыжах
skid|заносить
skill|умение
skillet|сковорода
skim|скользить
skin|кожа
skinny|тощий
skip|прыгать
skirt|юбка
skull|череп
slab|плита
slack|расслабление
slam|хлопать
slant|наклон
slap|шлепать
slash|рубить
slate|шифер
slaughter|бойня
slave|раб
slay |умертвить
sleek|гладкий
sleep around|трахаться
sleeve|рукав
slender|тонкий
slice|ломтик
slick|скользкий
slide |скользить
slight|легкий
slim|стройный
slime|слизь
slip|скользнуть
slipper|тапок
slippery|скользкий
slit|щель
slope|склон
sloppy|небрежный
slot|разъем
slow down|замедлиться
sludge|осадок
slum|трущобы
slump|спад
slut|шлюха
sly|лукавый
smack|шлепнуть
smart|умный
smash|громить
smear|мазать
smell|запах
smirk|ухмылка
smooth|гладкий
smother|задушить
smudge|смазать
smuggle|провозить тайно
snack|легкая закуска
snag|коряга
snail|улитка
snake|змея
snap|щелкать
snapshot|снимок
snarl|рычать
snatch|схватить
sneak|красться
sneakers|кеды
sneer|усмешка
sneeze|чихать
sniff|нюхать
snore|храп
snort|фыркнуть
snowball|снежок
snug|уютный
so far|до сих пор
soak|мочить
soap|мыло
soar|парить
sob|рыдать
sober|трезвый
sober up|протрезветь
so-called|так называемый
soccer|футбол
society|общество
sock|носок
socket|разъем
soften|смягчать
software|программое обеспечение
soil|почва
solar|солнечный
sole|единственный
sole|подошва
solemn|торжественный
solid|сплошной
solid|твердый
solitary|уединенный
solitude|одиночество
solution|решение
solution|раствор
solve|решить
someday|когда-нибудь
somewhat|слегка
soon|скоро
soot|сажа
soothe|успокаивать
sophisticated|сложный
sore|больной
sorrow|горе
sound|здоровый
sour|кислый
source|источник
south|юг
sovereign|суверенный
sow |сеять
space|пространство
space|космос
spade|лопата
span|пролет
spare|щадить
spare|запасной
spare|выделить
spark|искра
sparkle|сверкать
sparse|редкий
spawn|порождать
speak out|высказать
speak up|говорить громче
spear|копье
special|особенный
species|вид
specific|конкретный
specify|указать
specimen|образец
speck|пятнышко
spectacle|зрелище
spectator|зритель
speculate|предполагать
speed up|ускориться
spell|заклинание
spell|произносить
spell out|разъяснить
spend |тратить
spice|пряность
spike|шип
spill|проливать
spin|крутить
spine|позвоночник
spirit|дух
spit |плевать
splash|брызги
splendid|великолепный
splinter|шепка
split |расколоться
split up|разделиться
spoil|портить
spokesman|представитель
sponge|губка
spooky|жуткий
spot|место
spot|пятно
spot|заметить
spotlight|прожектор
spouse|супруг
sprawl|растягиваться
spread |распространять
spring |прыгать
spring |источник
sprinkle|побрызгать
sprout|росток
spur|шпора
spy |шпион
squad|команда
square|квадрат
square|площадь
squash|раздавливать
squat|приседать
squeak|пищать
squeal|визг
squeeze|сжимать
squid|кальмар
squint|щуриться
squirm|извиваться
squirrel|белка
squirt|тонкая струя
stab|ударить ножом
stable|устойчивый
stack|стопка
staff|персонал
stage|сцена
stage|стадия
stagger|шататься
stain|пятно
stairs|ступеньки
stake|стойка
stake|ставка
stale|несвежий
stalk|красться
stalk|стебель
stall|задержаться
stall|палатка
stamp|печать
stance|поза
stand|терпеть
stand against|противостоять
stand by|поддерживать
stand for|выступать за
stand for|обозначать
stand out|выделяться
standpoint|точка зрения
staple|скоба
stare|пялиться
stark|четкий
start up|основать
startle|испугать
starve|голодать
stash|тайник
state|государство
state|состояние
state|заявить
stature|рост
statutory|установленный законом
stay|оставаться
stay|остановиться пожить
stay up|не ложиться
steady|устойчивый
steal |красть
stealth|скрытность
steam|пар
steel|сталь
steep|крутой
steer|управлять
stellar|звездный
stem|стебель
step|шаг
step down|уйти в отставку
step in|вмешаться
stern|суровый
stew|тушить
stick|палка
stick |приклеить
stick at|упорно продолжать
stick out|торчать
stick to|придерживаться
stick together|держаться вместе
stiff|жесткий
stifle|удушать
still|спокойный
sting |жалить
stink |вонять
stir|шевелить
stir up|вызвать
stitch|стежок
stock|запас
stock|акции
stock up on|запастись
stocking|чулок
stomach|желудок
stomp|топать
stool|табурет
stoop|крыльцо со ступеньками
stoop|наклоняться
stop over|заехать
store|хранить
store|магазин
stout|толстый
stove|плита
straight|прямой
straightforward|простой
strain|напрягать
strait|пролив
strand|застрять
strand|прядь
strangle|придушить
strap|ремень
straw|солома
strawberry|клубника
stray|бродить
streak|полоса
stream|поток
strength|сила
stress|подчеркнуть
stretch|тянуть
strew |разбрасывать
strict|строгий
stride |шагать
strike|забастовка
strike |бить
strike out|потерпеть неудачу
string|струна
stringent|строгий
strip|полоса
strip|снимать
stripe|полоса
strive |стремиться
stroke|гладить
stroll|прогулка
struggle|бороться
stubborn|упрямый
stud|шпилька
stuff|вещи
stuffy|душный
stumble|спотыкаться
stump|пень
stun|ошеломить
stunt|трюк
stupid|глупый
sturdy|крепкий
subdue|подавить
subject|предмет
subject|подверженный
sublime|возвышенный
submerge|погружаться под воду
submit|подавать информацию
submit to|подчиниться
subordinate|подчиненный
subscribe|подписываться
subsequent|последующий
subside|утихать
subsidiary|вспомогательный
subsist|существовать
substance|вещество
substantial|существенный
substantive|существенный
substitute|заменять
subtitle|субтитры
subtle|тонкий
subtract|вычитать
suburb|пригород
subvert|подорвать
subway|метро
succeed|достичь цели
success|успех
succession|последовательность
successor|преемник
succumb|поддаться
suck|сосать
sudden|внезапный
sue|предъявить иск
suffer|страдать
suffice|хватать
sufficient|достаточный
suffocate|задыхаться
suggest|предлагать
suit|костюм
suit|подходить
suitcase|чемодан
suite|апартаменты
sulfur |сера
sum|сумма
sum up|подытожить
summary|сводка
summit|вершина
summon|вызывать
sunset|закат солнца
superb|превосходный
superficial|поверхностный
superintendent|управляющий
superior|высший
supervise|надзирать
supplement|дополнение
supply|поставлять
supply|предложение
support|поддерживать
suppose|полагать
suppress|подавлять
supreme|высший
sure|уверенный
surf|прибой
surface|поверхность
surge|волна
surgery|хирургия
surpass|превзойти
surplus|избыток
surprise|удивлять
surrender|сдаваться
surround|окружать
surveillance|наблюдение
survey|обзор
survive|выжить
susceptible|восприимчивый
suspect|подозревать
suspend|приостановить
suspicious|подозрительный
sustain|поддерживать
swallow|проглатывать
swamp|болото
swan|лебедь
swap|менять
swarm|рой
sway|раскачивать
swear|клясться
swear|ругаться
sweat|пот
sweep|размах
sweep |подметать
sweetheart|возлюбленный
swell |раздуваться
swift|быстрый
swing |качать
swirl|кружить
switch|переключать
swoop|кинуться
sword|меч
syllable|слог
symbol|символ
sympathy|сочуствие
syringe|шприц
table|таблица
tablet|плитка
tack|канцелярская кнопка
tack|курс
tackle|принадлежности
tackle|взяться за
tag|этикетка
tail|хвост
tailor|портной
taint|загрязнить
take|воспринимать
take a look|взглянуть
take a walk|прогуляться
take aback|ошеломить
take advantage of|воспользоваться
take after|быть в
take apart|разбирать
take away|отнять
take care|позаботиться
take down|записать
take in|понять
take off|снять
take off|взлететь
take on|соревноваться
take on|набрать
take over|принять обязанности
take part|принимать участие
take place|происходить
take up|заняться чем-либо
talk into|уговорить
talk over|обговорить
talk smb out|отговорить
tall|высокий
tally|подсчитывать
tame|ручной
tan|загар
tangible|осязаемый
tangle|запутывать
tank|бак
tap|стучать
tap|кран
tape|лента
tar|смола
target|цель
tart|пирог
task|задание
taste|вкус
tattered|оборванный
taunt|насмехаться
tax|налог
team|команда
tear|слеза
tear |рвать
tease|дразнить
tedious|утомительный
tell apart|различать
tell from|отличить
tell off|ругать
tell on|донести на кого-то
temper|характер
temple|храм
temple|висок
temporary|временный
tempt|искушать
tenant|арендатор
tend|иметь склонность
tend|ухаживать
tender|нежный
tense|напряженный
tent|палатка
tentative|пробный
term|срок
term|термин
terminal|конечный
terminate|прекратить
terms|отношения
terms|условия
terrain|местность
terrible|ужасный
terrify|устрашать
terror|ужас
testament|завет
testify|свидетельствовать
testimony|показание
text|писать
thank|благодарить
thaw|оттепель
theater |театр
theft|кража
theme|тема
thereafter|впоследствии
thereby|тем самым
therefore|следовательно
thermal|тепловой
thick|толстый
thick|густой
thief |вор
thigh|бедро
thin|тонкий
think over|обдумать
thirst|жажда
thorn|шип
thorough|основательный
though |хотя
thought|мысль
thread|нить
threat|угроза
threshold|порог
thrift|бережливость
thrill|трепет
thrive|процветать
throat|горло
throng|толпа
throw |бросать
throw away|выбрасывать
throw up|блевануть
thrust|сунуть
thud|глухой удар
thug|бандит
thumb|большой палец
thump|колотить
thunder|гром
thus|таким образом
thwart|помешать
tick|галочка
tick|клещ
ticket|билет
tickle|щекотать
tide|волна
tidy|опрятный
tie|галстук
tie|связывать
tied up|занятый
tier|ярус
tight|тугой
tile|плитка
tilt|наклонять
timber|древесина
timely|своевременный
timetable|расписание
timid|робкий
tin|олово
tinker with|возиться
tint|оттенок
tiny|крошечный
tip|кончик
tip|совет
tip |чаевые
tip smb off|предупредить
tire |шина
tired|усталый
tissue|ткань
tissue|бумажная салфетка
title|заголовок
toddler|малыш
toe|палец
toil|тяжело трудиться
token|знак
tolerate|терпеть
toll|плата
tomb|надгробие
tongue|язык
tool|инструмент
tooth |зуб
topic|тема
topple|опрокинуть
tops|самое большое
torch|факел
torment|мучение
torture|пытка
toss|бросать
total|полный
touch|связь
touch|касаться
tough|жесткий
tournament|турнир
tout|рекламировать
tow|буксир
toward |по направлению к
towel|полотенце
tower|башня
toy with|подумывать о ч-л
trace|след
track|след
track down|разыскать
trade|торговля
traffic light|светофор
trail|след
train|поезд
train|тренировать
trait|черта
traitor|изменник
tram|трамвай
tramp|бродяга
tranquil|спокойный
transcend|преодолеть
transcript|расшифровка
transfer|перевести
transition|переход
transmit|передавать
transparent|прозрачный
trap|ловушка
trash|мусор
tray|лоток
treachery|предательство
tread|ступать
treasure|сокровище
treat|обращаться
treaty|договор
trek|поход
tremble|дрожать
tremendous|громадный
trench|траншея
trial|испытание
trial|судебный процесс
triangle|треугольник
tribe|племя
tribute|дань
trick|трюк
trickle|струйка
trigger|спусковой крючок
trim|подстригать
trip|поездка
triple|тройной
troop|отряд
trophy|трофей
troublesome|хлопотный
trousers|брюки
trout|форель
truck|грузовик
trump|козырь
trumpet|труба
trunk|багажник
trunk|ствол дерева
trunk|чемодан
trust|доверять
try on|примерить
try out|испытать
tub|ванна
tube|тюбик
tube|труба
tube|метро
tuck|подоткнуть
tug|тянуть
tuition|обучение
tumble|перевернуться
tumor |опухоль
tuna|тунец
tune|мелодия
tune|настраивать
turkey|индейка
turmoil|смятение
turn|очередь
turn away|не пустить
turn down|отказаться от предложения
turn into|превращать
turn off|выключить
turn off|свернуть
turn on|включить
turn on|заводить
turn out|оказаться
turn over|перевернуть
turn up|сделать погромче
turnover|оборот
turtle|черепаха
tutor|репетитор
tweak|доделать
twig|прут
twilight|сумерки
twin|близнец
twinkle|блеск
twirl|вертеть
twist|скручивать
twitch|дергаться
type|печатать
ugly|безобразный
ultimate|окончательный
umbrella|зонтик
unanimous|единогласный
unbelievable|невероятный
uncle|дядя
undergo|пройти через
underground|подземный
underlie|лежать в основе
underline|подчеркивнуть
undermine|подрывать
underneath|под
underpants|трусы
underscore|нижнее подчеркивание
undertake|предпринимать
underwear|нижнее белье
undo|расстегнуть
union|союз
unique|уникальный
unit|единица
unite|объединять
universe|вселенная
unless|если не
upcoming|предстоящий
update|обновлять
uphill|в гору
uphold|соблюдать
upper|верхний
upright|вертикальный
upright|честный
uprising |восстание
upset|расстраивать
upside down|вверх ногами
up-to-date|современный
upwards |вверх
urban|городской
urge|побуждать
urgent|срочный
usage|применение
used to|когда-то бывало
useful|полезный
utility|полезность
utilize|использовать
utter|полный
utter|издать
vacation|отпуск
vague|смутный
vain|тщеславный
vain|напрасный
valid|действительный
valley|долина
value|ценность
valve|задвижка
van|фургон
vanish|исчезнуть
vapor|пар
variety|разнообразие
various|разнообразный
varnish|лак
vary|меняться
vase|ваза
vast|просторный
vault|свод
vault|хранилище
veer|резко свернуть
vegetable|овощ
vegetation|растительность
vehicle|транспортное средство
veil|вуаль
vein|вена
velocity|быстрота перемещения
velvet|бархат
vendor|продавец
vengeance|отмщение
vent|выход
venture|авантюра
verb|глагол
verge|обочина
verge|грань
verify|проверить
versatile|универсальный
verse|стих
vessel|сосуд
vessel|судно
vest|жилет
via|через
viable|жизнеспособный
vice|порок
vicinity|окрестность
vicious|злобный
victim|жертва
view|вид
vigil|дежурство
vigor|сила
village|деревня
villain|негодяй
vine|виноград
vinegar|уксус
violate|нарушать
violent|яростный
violet|фиолетовый
violin|скрипка
virgin|девственница
virtual|действительный
virtue|достоинство
visible|видимый
vision|зрение
visit|посетить
vital|жизненный
vivid|яркий
vocabulary|словарный запас
vocation|призвание
void|недействительный
volatile|изменчивый
volume|громкость
volume|том
volume|объем
voluntary|добровольный
vomit|рвота
vote|голосовать
vow|клятва
voyage|путешествие
vulnerable|уязвимый
wad|комок
wade|брод
waffle|вафля
wag|махать
wage|заработок
wail|вопить
waist|талия
waiter|официант
waive|отказаться
wake |просыпаться
wallet|бумажник
wallpaper|обои
walnut|грецкий орех
wander|бродить
wane|убывать
ward|палата
ward|округ
ward off|предотвратить
warden|смотритель
wardrobe|шкаф
warehouse|склад
warfare|военные действия
warmth|тепло
warn|предостерегать
warp|деформироваться
warrant|гарантировать
warrior|воин
wary|осторожный
wash down|запивать
wash up|умыться
wash up|помыть посуду
waste|отходы
waste|тратить
watch|часы
watchful|бдительный
water down|разбавить
watercolor|акварель
waterfall|водопад
wave|волна
wave|махать
waver|дрогнуть
wax|воск
way|способ
weak|слабый
wealth|богатство
weapon|оружие
wear|надевать
wear off|сойти на нет
wear out|измотать
weary|утомленный
weave|плести
wedding|свадьба
wedge|клин
weed|сорняк
weep|рыдать
weigh|весить
weight|вес
weird|нереальный
welcome|желанный
weld|сварка
welfare|пособие
welfare|благополучие
well|колодец
well-being|благополучие
well-off|обеспеченный
west|запад
wet|мокрый
whack|удар
whale|кит
whatsoever|совсем
wheat|пшеница
wheel|колесо
whereabouts|местонахождение
whereas|тогда как
whereby|посредством чего
whether|ли
whim|каприз
whine|ныть
whip|кнут
whirl|вихрь
whisk|сделать быстрое движение
whisper|шептать
whistle|свист
whiz|ловкач
whiz|просвистеть
whole|весь
wholesale|опт
wicked|злобный
wide|широкий
widespread|распространенный
widow|вдова
width|ширина
wield|владеть
wiggle|шевелить
wilderness|глушь
wildlife|дикая природа
will|воля
willow|ива
wince|поморщиться
wind |наматывать
wind up|заканчивать
windowpane|оконное стекло
wine|вино
wink|подмигивать
wipe|вытирать
wipe out|уничтожить
wire|проволока
wise|мудрый
wit|ум
witch|ведьма
withdraw|отводить
wither|увянуть
withhold|утаивать
within|в течение
within|в пределах
withstand|выдерживать
witness|свидетель
wizard|волшебник
wobble|качаться
woe|горе
wonder|удивление
wonder|хотеть знать
woo|ухаживать
wood|древесина
wool|шерсть
work out|тренироваться
work out|получиться
workshop|мастерская
worldwide|всемирный
worm|червь
worry|волновать
worsen|ухудшать
worship|почитать
worth|стоимость
worthwhile|стоящий
wound|рана
wrap|заворачивать
wrath|ярость
wreath|венок
wreck|разрушать
wrench|гаечный ключ
wrestle|бороться
wretched|жалкий
wrinkle|морщина
wrist|запястье
write out|выписать
wrong|не тот
wrongdoing|проступок
yacht|яхта
yank|дергать
yard|двор
yawn|зевать
yearn|тосковать
yell|кричать
yet|пока еще
yet|все же
yield|уступать
yield|приносить
youngster|юноша
youth|молодежь
zeal|рвение
zipper|молния
zoo|зоопарк
advance|продвигать
abandon|покидать
abroad|за границей
abrupt|резкий
absence|отсутствие
absorb|поглощать
absurd|абсурдный
abyss|бездна
accident|несчастный случай
accompany|сопровождать
accomplish|выполнить
accord|аккорд
accurate|точный
accurse|проклинать
accustom|приучать
achieve|достигать
acknowledge|сознавать
acquaint|знакомить
acquaintance|знакомство
active|активный
activity|активность
admiration|восхищение
admire|восхищаться
adult|взрослый
advantage|преимущество
adventure|приключение
advice|совет
advise|советовать
affair|роман
affect|оказывать воздействие
affection|привязанность
affectionate|любящий
afford|позволить себе
agent|агент
agony|агония
agree|соглашаться
agreeable|приятный
aid|помогать
aim|цель
alas|увы
alien|чужак
alley|переулок
aloud|вслух
alter|изменить
altogether|в целом
amaze|удивлять
amazement|изумление
america|америка
american|американский
amiable|любезный
amid|среди
amidst|среди
amongst|среди
amount|сумма
amuse|развлекать
anger|гнев
angle|угол
ankh|анкх
ankle|лодыжка
announce|объявлять
annoy|раздражать
anxiety|беспокойство
anyhow|в любом случае
anymore|больше
anywhere|где угодно
apartment|квартира
appeal|обращаться
apple|яблоко
apply|применять
appoint|назначать
apprehension|опасение
arch|арка
area|область
argue|спорить
argument|аргумент
arise|возникают
armor|броня
army|армия
arrange|договариваться
arrangement|договоренность
arrest|арестовать
arrival|прибытие
arrow|стрелка
article|статья
artist|художник
ash|пепел
ashamed|стыдящийся
aspect|аспект
assemble|собрать
assistant|помощник
associate|ассоциированный
assume|предполагать
astonish|удивлять
astonishment|изумление
atmosphere|атмосфера
attach|прикреплять
attend|посещать
attendant|дежурный
attic|чердак
attitude|отношение
attract|привлекать
audience|аудитория
auditor|аудитор
august|август
authority|власть
autumn|осень
avenue|авеню
await|ждать
awaken|пробудить
awkward|неловкий
axe|топор
baby|малыш
background|фон
backward|назад
badge|значок
balance|баланс
bald|лысый
balloon|воздушный шар
band|группа
bang|хлопнуть
bargain|торговаться
bark|лаять
barnacle|морская уточка
barrel|бочка
base|база
basil|базилик
basket|корзина
bat|летучая мышь
bath|ванна
bathroom|ванная комната
batter|тесто
bay|залив
beach|пляж
beam|луч
bearer|предъявитель
beast|зверь
beckon|манить
bed|кровать
bedroom|спальня
bee|пчела
beer|пиво
behave|вести себя
behold|вот
being|существование
belief|вера
bellow|реветь
belt|пояс
bench|лавка
bet|ставка
betray|предавать
bewilder|сбивать с толку
bid|делать ставку
bigger|больше
bile|желчь
birth|рождение
birthday|день рождения
bit|кусочек
bitter|горький
blackness|чернота
blade|лезвие
blame|винить
blank|пустой
blanket|одеяло
blast|взрыв
blaze|полыхать
bleed|кровоточить
blink|моргать
block|блокировать
bloody|кровавый
blossom|цвести
blur|размытие
blush|краснеть
bob|боб
boil|кипятить
bold|смелый
bolt|болт
bomb|бомбить
bonnet|капот
boom|бум
border|граница
bore|отверстие
borrow|занимать
bosom|грудь
bother|беспокоить
bounce|подпрыгивать
bowl|чаша
brandy|бренди
brass|латунь
brave|храбрый
bread|хлеб
breathe|дышать
breathless|затаивший дыхание
breeze|ветерок
brick|кирпич
brilliant|блестящий
brisk|оживленный
british|британский
bronze|бронза
brood|выводок
broom|метла
broomstick|метла
brow|бровь
brush|щетка
bubble|пузырь
buck|доллар
bug|ошибка
building|здание
bulge|выпуклость
bullet|пуля
bunch|связка
bundle|пучок
burden|бремя
bus|автобус
bush|куст
butter|масло
button|кнопка
buzz|гул
bye|пока
cabin|кабина
cable|кабель
cage|клетка
cake|торт
camera|камера
camp|лагерь
cap|колпачок
capable|способный
capital|капитал
capture|захватывать
career|карьера
careless|беспечный
carpet|ковер
carriage|перевозка
cart|тележка
carve|вырезать
casual|повседневный
cauldron|котел
caution|осторожность
cautious|осторожный
cavern|пещера
cease|прекратить
cell|клетка
cellar|подвал
center|центр
central|центральный
centre|центр
ceremony|церемония
champion|чемпион
channel|канал
chant|скандировать
chap|глава
chase|гнаться
chatter|болтовня
cheap|дешевый
cheer|радость
cheerful|веселый
chew|жевать
chicken|курица
chill|холод
chimney|камин
chin|подбородок
chocolate|шоколад
choice|выбор
choke|душить
christmas|рождество
chuckle|хихиканье
churchyard|церковный двор
cigar|сигара
cigarette|сигарета
citizen|гражданин
clad|одетый
claim|требовать
clang|лязг
clap|хлопать
clasp|застежка
classroom|класс
clatter|грохот
claw|коготь
clench|сжимать
clerk|клерк
clever|умный
click|нажмите
cling|цепляться
cloth|ткань
club|клуб
clue|подсказка
clumsy|неуклюжий
cluster|кластер
coach|тренер
coal|уголь
coast|побережье
cock|петух
code|код
coffee|кофе
coffin|гроб
coil|катушка
coin|монета
collapse|крах
collar|воротник
collect|собирать
college|колледж
colon|толстая кишка
colonel|полковник
color|цвет
column|столбец
comment|комментарий
commit|совершить
communication|коммуникация
compare|сравнивать
complain|жаловаться
complex|сложный
complicate|усложнять
compliment|комплимент
computer|компьютер
comrade|товарищ
conceal|скрыть
concentrate|концентрат
conclude|заключить
conclusion|заключение
conduct|руководить
confess|признаваться
confidence|уверенность
confirm|подтверждать
confuse|запутать
confusion|путаница
connect|соединять
connection|соединение
conscious|сознательный
consciousness|сознание
consent|согласие
consequence|последствие
considerable|значительный
consideration|рассмотрение
constant|постоянный
consult|проконсультироваться
contact|контакт
content|содержание
contrary|вопреки
convey|передавать
convince|убеждать
cook|готовить
cop|коп
copy|копия
corp|корпорация
corpse|труп
correct|правильный
cost|стоимость
cottage|коттедж
cough|кашель
council|совет
counsel|совет
countenance|выражение лица
counter|прилавок
courage|мужество
cousin|двоюродный брат
cow|корова
crackle|треск
craft|ремесло
crash|крушение
crazy|сумасшедший
creak|скрип
cream|крем
credit|кредит
crew|экипаж
crime|преступление
criminal|преступник
crook|мошенник
cruel|жестокий
crumble|крошиться
crush|раздавить
crystal|кристалл
cunning|хитрость
cupboard|шкаф
cur|дворняжка
cure|излечивать
curiosity|любопытство
curl|завиток
current|текущий
curtain|занавес
curve|изгиб
custom|обычай
dad|папа
dale|дол
damage|повреждать
damn|черт
damp|влажный
dan|Дэн
darken|темнеть
darling|милый
dart|дротик
dash|бросаться
data|данные
date|дата
david|Дэвид
daylight|дневной свет
dean|декан
debate|дебаты
decay|разлагаться
deceive|обманывать
decent|приличный
decision|решение
deck|палуба
declare|объявить
deed|поступок
defeat|поражение
defend|защищать
defense|защита
definite|определенный
degree|степень
delay|задерживать
delicate|деликатный
delightful|восхитительный
deliver|доставлять
demand|требовать
demon|демон
den|логово
deny|отрицать
depart|отходить
department|отделение
departure|отправление
depend|зависеть
depress|подавлять
depth|глубина
descend|спускаться
describe|описывать
description|описание
deserve|заслуживать
design|дизайн
despair|отчаяние
despite|несмотря на
detect|обнаружить
determine|определять
develop|развивать
device|устройство
devil|дьявол
devote|посвящать
diary|дневник
dick|хуй
difference|разница
difficulty|трудность
dignity|достоинство
dimension|измерение
din|гам
dip|окунать
dirty|грязный
disappoint|разочаровать
disappointment|разочарование
discovery|открытие
discuss|обсуждать
discussion|обсуждение
disease|болезнь
disguise|маскировка
disgust|отвращение
dish|блюдо
dislike|не нравится
dismal|унылый
dismiss|увольнять
display|отображать
dispose|распоряжаться
distinct|отчетливый
distinguish|различать
distract|отвлекать
distress|бедствие
div|див
divide|разделять
dizzy|головокружение
dollar|доллар
doom|рок
doorway|дверной проем
dormitory|общежитие
dot|точка
doubtful|сомнительно
downstairs|внизу
downward|вниз
doze|дремать
drain|осушать
draught|черновик
drawer|ящик
drip|капать
driver|водитель
